epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.26472,0.56026,0.5,1,0.72781,0,0,0
2,14.8926,0.57852,0.5,1,0.72466,1.50197e-05,1.50197e-05,1.50197e-05
3,19.4691,0.51712,0.5,1,0.73045,2.67387e-05,2.67387e-05,2.67387e-05
4,24.7558,0.52818,0.5,1,0.71324,3.5157e-05,3.5157e-05,3.5157e-05
5,30.9646,0.46977,0.5,1,0.69907,4.02747e-05,4.02747e-05,4.02747e-05
6,36.9245,0.46824,0.5,1,0.68681,4.20917e-05,4.20917e-05,4.20917e-05
7,42.7969,0.46854,0.5,1,0.67673,4.06081e-05,4.06081e-05,4.06081e-05
8,51.0487,0.44309,0.5,1,0.67275,3.58238e-05,3.58238e-05,3.58238e-05
9,58.1937,0.40372,0.5,1,0.66619,2.77389e-05,2.77389e-05,2.77389e-05
10,65.4232,0.34557,0.375,1,0.66435,1.63533e-05,1.63533e-05,1.63533e-05
